Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	DelBene	Suzan K.		P	WA01	2022	8/8/2022	20021465
Hon.	DelBene	Suzan K.		P	WA01	2022	8/26/2022	20021579
Hon.	Delgado	Antonio		T	NY19	2022	7/13/2022	10049663
Hon.	Delgado	Antonio		X	NY19	2022	6/3/2022	30017438
	Della Pia	Max		C	NY23	2022	5/13/2022	10047990
	Dellicker	Kevin		C	PA07	2022	5/11/2022	10046576
	Deluzio	Christopher		C	PA17	2022	5/16/2022	10047427
	Deluzio	Mark		C	AZ02	2022	5/11/2022	10046726
	Demarco	Samuel	III	W		2022		8218633
	Dempsey	Brad		W		2022		8218705
	Denardis	Lesley		C	CT03	2022	6/14/2022	10049423
	Denotter	Matthew		C	MI11	2022	5/15/2022	10048853
	Depaolis	Giuliano Giovanni		C	CA28	2022	4/17/2022	10046293
	Derby	David		C	OK02	2022	5/14/2022	10048775
	D'Esposito	Anthony P.		C	NY04	2022	8/8/2022	10049851
	Desvignes	Elfreda		W	GA07	2022	4/28/2022	7851
	Devolder-Santos	George Anthony		C	NY03	2022	9/6/2022	10050385
	Di Paola	John		C	OR05	2022	5/14/2022	10044614
	Diamond	Ben		W	FL13	2022	7/7/2022	7869
	Dickinson	Jerry		C	PA18	2022	4/15/2022	10046102
	Diemer	Matthew		C	OH07	2022	5/15/2022	10048215
Hon.	Dingell	Debbie		P	MI12	2022	4/26/2022	20020866
Hon.	Dingell	Debbie		P	MI12	2022	5/19/2022	20021083
Hon.	Dingell	Debbie		P	MI12	2022	6/12/2022	20021166
Hon.	Dingell	Debbie		P	MI12	2022	8/15/2022	20021536
	Dixon	Gregg Marcel		C	SC06	2022	5/14/2022	10048658
	Dodge	Danelle		C	FL08	2022	8/3/2022	10050094
Hon.	Doggett	Lloyd		P	TX35	2022	1/10/2022	20020191
Hon.	Doggett	Lloyd		P	TX35	2022	3/7/2022	20020576
Hon.	Doggett	Lloyd		P	TX35	2022	4/8/2022	20020754
Hon.	Doggett	Lloyd		P	TX35	2022	5/9/2022	20020959
Hon.	Doggett	Lloyd		P	TX35	2022	6/6/2022	20021153
Hon.	Doggett	Lloyd		P	TX35	2022	7/11/2022	20021362
Hon.	Doggett	Lloyd		P	TX35	2022	8/5/2022	20021487
Hon.	Doggett	Lloyd		P	TX35	2022	9/6/2022	20021654
	Donovan	Michelle R. E.		C	MI09	2022	5/16/2022	10048254
Mr.	Doucette	Michael Leo		C	NV02	2022	5/10/2022	10044562
	Dowell	Patricia R.		C	IL01	2022	3/14/2022	10044687
Dr.	Dowling	Sandra E.		X	AZ09	2022	7/12/2022	8219075
	Doyle	Michael		C	PA12	2022	4/24/2022	10044807
	Doyle	Michael		X	PA12	2022	5/11/2022	8218713
	Duarte	John S.		C	CA13	2022	4/1/2022	8218625
	Duke	Brady		X	FL07	2022	6/6/2022	30017081
	Dunn	Reagan B.		C	WA08	2022	5/16/2022	10047825
	Dupree	Johnny L.		C	MS04	2022	7/29/2022	10050027
	Dutchess	Lady Donna		D	AK00	2022	7/7/2022	40003347
	Dwyer	Angela Joyce		C	WV02	2022	4/8/2022	10044726
	Edmonson	Audrey		C	FL24	2022	4/27/2022	10046811
	Edwards	Chuck		C	NC11	2022	4/16/2022	10046267
	Edwards	Donna F.		C	MD04	2022	5/17/2022	10049351
	Edwards	Ted		C	FL07	2022	7/22/2022	10049857
	Edwards	Ted		X	FL07	2022	7/6/2022	30017570
	Ehasz	Ashley		C	PA01	2022	6/13/2022	10047694
	Ehasz	Ashley		X	PA01	2022	6/6/2022	30017135
	Ehr	Phillip Charles		C	FL01	2022	5/17/2022	10049339
	Elliott	Steven		X	MI13	2022	6/6/2022	30016933
	Engdahl	Andrew David		C	CA04	2022	5/4/2022	10047241
	Engel	Kirsten		C	AZ06	2022	5/16/2022	10048857
	Entin	Alex		A	PA01	2022	4/17/2022	10046307
	Entin	Alex		C	PA01	2022	4/17/2022	10044752
	Epperson	Dalila		C	CA19	2022	5/7/2022	10047658
	Erickson	Mike		C	OR06	2022	4/12/2022	10044732
	Ernst	Roland		W	CA47	2022	2/8/2022	7827
	Esrati	David		C	OH10	2022	8/12/2022	10050193
Hon.	Estes	Ron		P	KS04	2022	3/9/2022	20020587
Hon.	Estes	Ron		P	KS04	2022	6/3/2022	20021149
Hon.	Estes	Ron		P	KS04	2022	7/18/2022	20021397
Hon.	Estes	Ron		P	KS04	2022	8/1/2022	20021461
	Ettinger	Jeffrey M.		C	MN01	2022	4/29/2022	8218669
Hon.	Evans	Dwight		P	PA03	2022	4/25/2022	20020865
Hon.	Evans	Dwight		P	PA03	2022	8/19/2022	20021576
